AnoQuarter|Linha_produto|Categoria_produto|Total_dinheiro_vendido
2001Q4|Children|Children Sports|573790
2001Q4|Children|Children Sports|173010
2001Q4|Children|Children Sports|2128798
2001Q4|Children|Children Sports|6529458
2001Q4|Children|Children Sports|962760
2001Q4|Clothes & Shoes|Clothes|28890620
2001Q4|Clothes & Shoes|Clothes|1444700
2001Q4|Clothes & Shoes|Clothes|10012690
2001Q4|Clothes & Shoes|Clothes|5777628
2001Q4|Clothes & Shoes|Clothes|4675780
2001Q4|Clothes & Shoes|Clothes|1986420
2001Q4|Clothes & Shoes|Clothes|11914944
2001Q4|Clothes & Shoes|Clothes|4003846
2001Q4|Clothes & Shoes|Clothes|2753024
2001Q4|Clothes & Shoes|Clothes|377340
2001Q4|Clothes & Shoes|Clothes|822050
2001Q4|Clothes & Shoes|Clothes|4747840
2001Q4|Clothes & Shoes|Clothes|950120
2001Q4|Clothes & Shoes|Clothes|22060316
2001Q4|Clothes & Shoes|Clothes|2805908
2001Q4|Clothes & Shoes|Shoes|43036552
2001Q4|Clothes & Shoes|Shoes|20498202
2001Q4|Clothes & Shoes|Shoes|19781582
2001Q4|Outdoors|Outdoors|38441226
2001Q4|Outdoors|Outdoors|15717590
2001Q4|Outdoors|Outdoors|2682510
2001Q4|Outdoors|Outdoors|883980
2001Q4|Outdoors|Outdoors|17027030
2001Q4|Outdoors|Outdoors|19271590
2001Q4|Outdoors|Outdoors|33458250
2001Q4|Sports|Assorted Sports Articles|40581476
2001Q4|Sports|Assorted Sports Articles|7421390
2001Q4|Sports|Assorted Sports Articles|2090970
2001Q4|Sports|Assorted Sports Articles|45062360
2001Q4|Sports|Golf|27034117
2001Q4|Sports|Golf|8863869
2001Q4|Sports|Indoor Sports|12016218
2001Q4|Sports|Indoor Sports|1662258
2001Q4|Sports|Indoor Sports|5634064
2001Q4|Sports|Racket Sports|3613060
2001Q4|Sports|Racket Sports|17424580
2001Q4|Sports|Racket Sports|4182923
2001Q4|Sports|Running - Jogging|9642099
2001Q4|Sports|Running - Jogging|10470479
2001Q4|Sports|Swim Sports|4854200
2001Q4|Sports|Team Sports|1682857
2001Q4|Sports|Team Sports|1062094
2001Q4|Sports|Team Sports|453248
2001Q4|Sports|Team Sports|7892005
2001Q4|Sports|Winter Sports|32955084
2001Q4|Sports|Winter Sports|26105245
2002Q1|Children|Children Sports|686670
2002Q1|Children|Children Sports|280160
2002Q1|Children|Children Sports|1811890
2002Q1|Children|Children Sports|1466150
2002Q1|Children|Children Sports|1141620
2002Q1|Children|Children Sports|3489750
2002Q1|Children|Children Sports|326970
2002Q1|Children|Children Sports|51590
2002Q1|Children|Children Sports|1334070
2002Q1|Children|Children Sports|3951750
2002Q1|Children|Children Sports|438660
2002Q1|Clothes & Shoes|Clothes|15570020
2002Q1|Clothes & Shoes|Clothes|804550
2002Q1|Clothes & Shoes|Clothes|12982298
2002Q1|Clothes & Shoes|Clothes|3279160
2002Q1|Clothes & Shoes|Clothes|2562630
2002Q1|Clothes & Shoes|Clothes|973390
2002Q1|Clothes & Shoes|Clothes|6340340
2002Q1|Clothes & Shoes|Clothes|2500950
2002Q1|Clothes & Shoes|Clothes|1314090
2002Q1|Clothes & Shoes|Clothes|298610
2002Q1|Clothes & Shoes|Clothes|369240
2002Q1|Clothes & Shoes|Clothes|3040140
2002Q1|Clothes & Shoes|Clothes|1167690
2002Q1|Clothes & Shoes|Clothes|12609650
2002Q1|Clothes & Shoes|Clothes|1828473
2002Q1|Clothes & Shoes|Shoes|41539790
2002Q1|Clothes & Shoes|Shoes|19648580
2002Q1|Clothes & Shoes|Shoes|18253690
2002Q1|Outdoors|Outdoors|50377644
2002Q1|Outdoors|Outdoors|8247240
2002Q1|Outdoors|Outdoors|1305750
2002Q1|Outdoors|Outdoors|867256
2002Q1|Outdoors|Outdoors|16323290
2002Q1|Outdoors|Outdoors|15995110
2002Q1|Outdoors|Outdoors|30581390
2002Q1|Sports|Assorted Sports Articles|25044935
2002Q1|Sports|Assorted Sports Articles|3943340
2002Q1|Sports|Assorted Sports Articles|1809040
2002Q1|Sports|Assorted Sports Articles|38470370
2002Q1|Sports|Golf|18660640
2002Q1|Sports|Golf|5874120
2002Q1|Sports|Indoor Sports|10288970
2002Q1|Sports|Indoor Sports|1643118
2002Q1|Sports|Indoor Sports|6620930
2002Q1|Sports|Racket Sports|1849330
2002Q1|Sports|Racket Sports|7418950
2002Q1|Sports|Racket Sports|2273750
2002Q1|Sports|Running - Jogging|9503950
2002Q1|Sports|Running - Jogging|10878630
2002Q1|Sports|Swim Sports|4316380
2002Q1|Sports|Team Sports|895828
2002Q1|Sports|Team Sports|553400
2002Q1|Sports|Team Sports|341505
2002Q1|Sports|Team Sports|4604020
2002Q1|Sports|Winter Sports|37296906
2002Q1|Sports|Winter Sports|26586944
2002Q2|Children|Children Sports|1901610
2002Q2|Children|Children Sports|793261
2002Q2|Children|Children Sports|4160116
2002Q2|Children|Children Sports|3412116
2002Q2|Children|Children Sports|2699720
2002Q2|Children|Children Sports|8575343
2002Q2|Children|Children Sports|813670
2002Q2|Children|Children Sports|155820
2002Q2|Children|Children Sports|2953406
2002Q2|Children|Children Sports|9624001
2002Q2|Children|Children Sports|1146390
2002Q2|Clothes & Shoes|Clothes|33755892
2002Q2|Clothes & Shoes|Clothes|1672180
2002Q2|Clothes & Shoes|Clothes|8447580
2002Q2|Clothes & Shoes|Clothes|6161750
2002Q2|Clothes & Shoes|Clothes|4462650
2002Q2|Clothes & Shoes|Clothes|2442530
2002Q2|Clothes & Shoes|Clothes|14467944
2002Q2|Clothes & Shoes|Clothes|4919300
2002Q2|Clothes & Shoes|Clothes|3016810
2002Q2|Clothes & Shoes|Clothes|612390
2002Q2|Clothes & Shoes|Clothes|716660
2002Q2|Clothes & Shoes|Clothes|5884186
2002Q2|Clothes & Shoes|Clothes|1814009
2002Q2|Clothes & Shoes|Clothes|26171782
2002Q2|Clothes & Shoes|Clothes|3187960
2002Q2|Clothes & Shoes|Shoes|70280459
2002Q2|Clothes & Shoes|Shoes|32135426
2002Q2|Clothes & Shoes|Shoes|29989721
2002Q2|Outdoors|Outdoors|35544897
2002Q2|Outdoors|Outdoors|22614742
2002Q2|Outdoors|Outdoors|1303240
2002Q2|Outdoors|Outdoors|416920
2002Q2|Outdoors|Outdoors|40602488
2002Q2|Outdoors|Outdoors|40838220
2002Q2|Outdoors|Outdoors|73728750
2002Q2|Sports|Assorted Sports Articles|49968368
2002Q2|Sports|Assorted Sports Articles|3700330
2002Q2|Sports|Assorted Sports Articles|5707500
2002Q2|Sports|Assorted Sports Articles|99688302
2002Q2|Sports|Golf|43149272
2002Q2|Sports|Golf|14436386
2002Q2|Sports|Indoor Sports|6760870
2002Q2|Sports|Indoor Sports|1026270
2002Q2|Sports|Indoor Sports|3688170
2002Q2|Sports|Racket Sports|1694740
2002Q2|Sports|Racket Sports|13498110
2002Q2|Sports|Racket Sports|7124111
2002Q2|Sports|Running - Jogging|15289788
2002Q2|Sports|Running - Jogging|16711865
2002Q2|Sports|Swim Sports|12785359
2002Q2|Sports|Team Sports|2714926
2002Q2|Sports|Team Sports|1774661
2002Q2|Sports|Team Sports|271619
2002Q2|Sports|Team Sports|11250911
2002Q2|Sports|Winter Sports|13047090
2002Q2|Sports|Winter Sports|10245940
2002Q3|Children|Children Sports|1920117
2002Q3|Children|Children Sports|720360
2002Q3|Children|Children Sports|4654032
2002Q3|Children|Children Sports|3896842
2002Q3|Children|Children Sports|3189780
2002Q3|Children|Children Sports|10492001
2002Q3|Children|Children Sports|865280
2002Q3|Children|Children Sports|143770
2002Q3|Children|Children Sports|3449432
2002Q3|Children|Children Sports|10378888
2002Q3|Children|Children Sports|1358220
2002Q3|Clothes & Shoes|Clothes|39645386
2002Q3|Clothes & Shoes|Clothes|2190671
2002Q3|Clothes & Shoes|Clothes|6642940
2002Q3|Clothes & Shoes|Clothes|7730260
2002Q3|Clothes & Shoes|Clothes|6289522
2002Q3|Clothes & Shoes|Clothes|1759290
2002Q3|Clothes & Shoes|Clothes|16037019
2002Q3|Clothes & Shoes|Clothes|5924223
2002Q3|Clothes & Shoes|Clothes|3388910
2002Q3|Clothes & Shoes|Clothes|811203
2002Q3|Clothes & Shoes|Clothes|990128
2002Q3|Clothes & Shoes|Clothes|7387659
2002Q3|Clothes & Shoes|Clothes|2660790
2002Q3|Clothes & Shoes|Clothes|30468767
2002Q3|Clothes & Shoes|Clothes|4023728
2002Q3|Clothes & Shoes|Shoes|73089625
2002Q3|Clothes & Shoes|Shoes|34042796
2002Q3|Clothes & Shoes|Shoes|31010161
2002Q3|Outdoors|Outdoors|21190490
2002Q3|Outdoors|Outdoors|20089716
2002Q3|Outdoors|Outdoors|1494680
2002Q3|Outdoors|Outdoors|419180
2002Q3|Outdoors|Outdoors|38814851
2002Q3|Outdoors|Outdoors|38372080
2002Q3|Outdoors|Outdoors|66307110
2002Q3|Sports|Assorted Sports Articles|56319795
2002Q3|Sports|Assorted Sports Articles|3924290
2002Q3|Sports|Assorted Sports Articles|5122660
2002Q3|Sports|Assorted Sports Articles|98716794
2002Q3|Sports|Golf|42694532
2002Q3|Sports|Golf|14449753
2002Q3|Sports|Indoor Sports|11468900
2002Q3|Sports|Indoor Sports|1871470
2002Q3|Sports|Indoor Sports|7521530
2002Q3|Sports|Racket Sports|2290930
2002Q3|Sports|Racket Sports|17812310
2002Q3|Sports|Racket Sports|5119023
2002Q3|Sports|Running - Jogging|15252590
2002Q3|Sports|Running - Jogging|17471329
2002Q3|Sports|Swim Sports|12681795
2002Q3|Sports|Team Sports|3282409
2002Q3|Sports|Team Sports|2095859
2002Q3|Sports|Team Sports|702192
2002Q3|Sports|Team Sports|9428692
2002Q3|Sports|Winter Sports|13188480
2002Q3|Sports|Winter Sports|9387375
2002Q4|Children|Children Sports|2410972
2002Q4|Children|Children Sports|384510
2002Q4|Children|Children Sports|4503284
2002Q4|Children|Children Sports|3532994
2002Q4|Children|Children Sports|3231680
2002Q4|Children|Children Sports|10175228
2002Q4|Children|Children Sports|945890
2002Q4|Children|Children Sports|130320
2002Q4|Children|Children Sports|3356236
2002Q4|Children|Children Sports|10416778
2002Q4|Children|Children Sports|1445210
2002Q4|Clothes & Shoes|Clothes|36369556
2002Q4|Clothes & Shoes|Clothes|1926618
2002Q4|Clothes & Shoes|Clothes|13048650
2002Q4|Clothes & Shoes|Clothes|6687940
2002Q4|Clothes & Shoes|Clothes|5862078
2002Q4|Clothes & Shoes|Clothes|3201910
2002Q4|Clothes & Shoes|Clothes|14963692
2002Q4|Clothes & Shoes|Clothes|5055628
2002Q4|Clothes & Shoes|Clothes|3393788
2002Q4|Clothes & Shoes|Clothes|466370
2002Q4|Clothes & Shoes|Clothes|969230
2002Q4|Clothes & Shoes|Clothes|7100448
2002Q4|Clothes & Shoes|Clothes|1171600
2002Q4|Clothes & Shoes|Clothes|26855044
2002Q4|Clothes & Shoes|Clothes|3859615
2002Q4|Clothes & Shoes|Shoes|54676275
2002Q4|Clothes & Shoes|Shoes|27178030
2002Q4|Clothes & Shoes|Shoes|23371404
2002Q4|Outdoors|Outdoors|52604394
2002Q4|Outdoors|Outdoors|22907950
2002Q4|Outdoors|Outdoors|3507710
2002Q4|Outdoors|Outdoors|1052086
2002Q4|Outdoors|Outdoors|24080120
2002Q4|Outdoors|Outdoors|25854330
2002Q4|Outdoors|Outdoors|45438970
2002Q4|Sports|Assorted Sports Articles|53633662
2002Q4|Sports|Assorted Sports Articles|9056810
2002Q4|Sports|Assorted Sports Articles|3221780
2002Q4|Sports|Assorted Sports Articles|58373770
2002Q4|Sports|Golf|38825431
2002Q4|Sports|Golf|12303537
2002Q4|Sports|Indoor Sports|18476270
2002Q4|Sports|Indoor Sports|3088254
2002Q4|Sports|Indoor Sports|11150846
2002Q4|Sports|Racket Sports|3977890
2002Q4|Sports|Racket Sports|21675720
2002Q4|Sports|Racket Sports|5370879
2002Q4|Sports|Running - Jogging|12525237
2002Q4|Sports|Running - Jogging|13956017
2002Q4|Sports|Swim Sports|6843290
2002Q4|Sports|Team Sports|3471106
2002Q4|Sports|Team Sports|2557927
2002Q4|Sports|Team Sports|952692
2002Q4|Sports|Team Sports|10400227
2002Q4|Sports|Winter Sports|35349845
2002Q4|Sports|Winter Sports|24896886
